accession
AF245951
AM265946
AM265945
AM265944
AM265943
AM265942
AM265941
AM265940
AM265939
AM265938
AM265947
AM265937
AM265935
AM265934
AM265933
AM265932
AM265931
AM265930
AM265929
AM265928
AM265927
AM265936
AM265948
AM265949
AM265950
AM265971
AM265970
AM265969
AM265968
AM265967
AM265966
AM265965
AM265964
AM265963
AM265962
AM265961
AM265960
AM265959
AM265958
AM265957
AM265956
AM265955
AM265954
AM265953
AM265952
AM265951
AM265926
AM265925
AM265924
AM265923
AM265897
AM265896
AM265895
AM265894
AM265893
AM265892
AM265891
AM265890
AM265889
AM265888
AM265887
AM265886
AM265885
AM265884
AM265883
AM265882
AM265881
AM265880
AM265879
AM265878
AM265877
AM265898
AM265972
AM265899
AM265901
AM265922
AM265921
AM265920
AM265919
AM265918
AM265917
AM265916
AM265915
AM265914
AM265913
AM265912
AM265911
AM265910
AM265909
AM265908
AM265907
AM265906
AM265905
AM265904
AM265903
AM265902
AM265900
AM265973
AM265974
AM265975
AM266046
AM266045
AM266044
AM266043
AM266042
AM266041
AM266040
AM266039
AM266038
AM266037
AM266036
AM266035
AM266034
AM266033
AM266032
AM266031
AM266030
AM266029
AM266028
AM266027
AM266026
AM266047
AM266025
AM266048
AM266050
AM266071
AM266070
AM266069
AM266068
AM266067
AM266066
AM266065
AM266064
AM266063
AM266062
AM266061
AM266060
AM266059
AM266058
AM266057
AM266056
AM266055
AM266054
AM266053
AM266052
AM266051
AM266049
AM265876
AM266024
AM266022
AM265996
AM265995
AM265994
AM265993
AM265992
AM265991
AM265990
AM265989
AM265988
AM265987
AM265986
AM265985
AM265984
AM265983
AM265982
AM265981
AM265980
AM265979
AM265978
AM265977
AM265976
AM265997
AM266023
AM265998
AM266000
AM266021
AM266020
AM266019
AM266018
AM266017
AM266016
AM266015
AM266014
AM266013
AM266012
AM266011
AM266010
AM266009
AM266008
AM266007
AM266006
AM266005
AM266004
AM266003
AM266002
AM266001
AM265999
AM265875
AM265874
AM265873
AM265747
AM265746
AM265745
AM265744
AM265743
AM265742
AM265741
AM265740
AM265739
AM265738
AM265737
AM265736
AM265735
AM265734
AM265733
AM265732
AM265731
AM265730
AM265729
AM265728
AM265727
AM265748
AM265726
AM265749
AM265751
AM265772
AM265771
AM265770
AM265769
AM265768
AM265767
AM265766
AM265765
AM265764
AM265763
AM265762
AM265761
AM265760
AM265759
AM265758
AM265757
AM265756
AM265755
AM265754
AM265753
AM265752
AM265750
AM265773
AM265725
AM265723
AM263284
AM263283
AM263282
AM263281
AM263280
AM263279
AM263275
AM263272
AM263268
AM263265
AM263259
AM263257
AM263256
AM263254
AM263252
AM263230
AM263228
AM263226
AM263220
AM263217
AM114100
AM263285
AM265724
AM263291
AM263296
AM265722
AM265721
AM265720
AM265719
AM265718
AM265717
AM265716
AM265715
AM265714
AM265713
AM265712
AM265711
AM265710
AM265709
AM265708
AM265707
AM265706
AM265705
AM265704
AM265703
AM265702
AM263292
AM266072
AM265774
AM265776
AM265847
AM265846
AM265845
AM265844
AM265843
AM265842
AM265841
AM265840
AM265839
AM265838
AM265837
AM265836
AM265835
AM265834
AM265833
AM265832
AM265831
AM265830
AM265829
AM265828
AM265827
AM265848
AM265826
AM265849
AM265851
AM265872
AM265871
AM265870
AM265869
AM265868
AM265867
AM265866
AM265865
AM265864
AM265863
AM265862
AM265861
AM265860
AM265859
AM265858
AM265857
AM265856
AM265855
AM265854
AM265853
AM265852
AM265850
AM265775
AM265825
AM265823
AM265797
AM265796
AM265795
AM265794
AM265793
AM265792
AM265791
AM265790
AM265789
AM265788
AM265787
AM265786
AM265785
AM265784
AM265783
AM265782
AM265781
AM265780
AM265779
AM265778
AM265777
AM265798
AM265824
AM265799
AM265801
AM265822
AM265821
AM265820
AM265819
AM265818
AM265817
AM265816
AM265815
AM265814
AM265813
AM265812
AM265811
AM265810
AM265809
AM265808
AM265807
AM265806
AM265805
AM265804
AM265803
AM265802
AM265800
AM266073
AM266074
AM266075
AM266347
AM266346
AM266345
AM266344
AM266343
AM266342
AM266341
AM266340
AM266339
AM266338
AM266337
AM266336
AM266335
AM266334
AM266333
AM266332
AM266331
AM266330
AM266329
AM266328
AM266327
AM266348
AM266326
AM266349
AM266351
AM266372
AM266371
AM266370
AM266369
AM266368
AM266367
AM266366
AM266365
AM266364
AM266363
AM266362
AM266361
AM266360
AM266359
AM266358
AM266357
AM266356
AM266355
AM266354
AM266353
AM266352
AM266350
AM266373
AM266325
AM266323
AM266297
AM266296
AM266295
AM266294
AM266293
AM266292
AM266291
AM266290
AM266289
AM266288
AM266287
AM266286
AM266285
AM266284
AM266283
AM266282
AM266281
AM266280
AM266279
AM266278
AM266277
AM266298
AM266324
AM266299
AM266301
AM266322
AM266321
AM266320
AM266319
AM266318
AM266317
AM266316
AM266315
AM266314
AM266313
AM266312
AM266311
AM266310
AM266309
AM266308
AM266307
AM266306
AM266305
AM266304
AM266303
AM266302
AM266300
AM266276
AM266374
AM266376
AM266447
AM266446
AM266445
AM266444
AM266443
AM266442
AM266441
AM266440
AM266439
AM266438
AM266437
AM266436
AM266435
AM266434
AM266433
AM266432
AM266431
AM266430
AM266429
AM266428
AM266427
AM266448
AM266426
AM266449
AM266451
AM266472
AM266471
AM266470
AM266469
AM266468
AM266467
AM266466
AM266465
AM266464
AM266463
AM266462
AM266461
AM266460
AM266459
AM266458
AM266457
AM266456
AM266455
AM266454
AM266453
AM266452
AM266450
AM266375
AM266425
AM266423
AM266397
AM266396
AM266395
AM266394
AM266393
AM266392
AM266391
AM266390
AM266389
AM266388
AM266387
AM266386
AM266385
AM266384
AM266383
AM266382
AM266381
AM266380
AM266379
AM266378
AM266377
AM266398
AM266424
AM266399
AM266401
AM266422
AM266421
AM266420
AM266419
AM266418
AM266417
AM266416
AM266415
AM266414
AM266413
AM266412
AM266411
AM266410
AM266409
AM266408
AM266407
AM266406
AM266405
AM266404
AM266403
AM266402
AM266400
AM075804
AM266275
AM266273
AM266146
AM266145
AM266144
AM266143
AM266142
AM266141
AM266140
AM266139
AM266138
AM266137
AM266136
AM266135
AM266134
AM266133
AM266132
AM266131
AM266130
AM266129
AM266128
AM266127
AM266126
AM266147
AM266125
AM266148
AM266150
AM266171
AM266170
AM266169
AM266168
AM266167
AM266166
AM266165
AM266164
AM266163
AM266162
AM266161
AM266160
AM266159
AM266158
AM266157
AM266156
AM266155
AM266154
AM266153
AM266152
AM266151
AM266149
AM266172
AM266124
AM266122
AM266096
AM266095
AM266094
AM266093
AM266092
AM266091
AM266090
AM266089
AM266088
AM266087
AM266086
AM266085
AM266084
AM266083
AM266082
AM266081
AM266080
